gene_short_name,V515-06187-A1,TNT-115,TNT-204,TNT-69,TNT-139,TNT-219,TNT-211,17-00160-1_S2Aligned_cufflinks,TNT-24,TNT-218,17-00143-5_S2Aligned_cufflinks
S100A8,3.4999599999999997,96.5914,8.7204,0.300674,2.84797,1.15485,1.99659,7.4687399999999995,6.0969,5.3621300000000005,9.1996
SCRG1,23.221999999999998,0.127307,0.700362,12.8088,0.985764,0.253287,6.41476,0.353705,8.62836,2.0477,0.0
SEMA3C,89.189,9.35257,55.0883,61.7731,22.0941,41.6009,3.79178,5.61644,11.163,54.7683,17.3161
SERHL2,5.02658,5.03873,56.482,1.4883600000000001,2.80262,2.98422,0.0659862,2.62127,1.56208,0.398353,16.2918
SFRP1,35.3095,4.03801,1.9391599999999998,59.0984,15.2094,0.601146,13.1442,9.885769999999999,22.0046,9.11303,0.5283640000000001
SIDT1,0.9090090000000001,8.53938,17.7867,1.39344,1.9708900000000003,15.2371,21.0913,0.6342270000000001,3.34404,10.4605,14.89
SOX10,3.84721,0.812829,0.0,1.60505,3.85785,0.0738485,0.52432,7.16494,3.58091,0.09406239999999999,0.0
SPDEF,0.141878,0.27778,5.67909,0.25425,0.6927949999999999,4.07118,0.6130939999999999,0.302264,0.433642,0.0,15.935
SPRR1B,0.09447810000000001,0.0,1.1117299999999999,0.0,0.0,0.0,0.0,0.52413,0.0,0.0,0.0
SPTLC2,28.7351,74.6543,38.3141,27.3687,99.0664,44.4583,17.2824,49.6177,59.4068,33.454,94.7651
SRPX,12.4869,1.54925,1.8813099999999998,3.8546400000000003,7.10769,3.4648,13.1963,1.60124,5.288819999999999,0.6244350000000001,0.776788
TCF7L1,11.751,3.03016,2.498,21.0061,12.025,2.14677,8.44293,12.7575,13.9768,16.0211,14.8675
TFAP2B,1.18026,0.0,27.5623,1.01875,1.54039,0.0,21.8357,0.0538654,0.23612399999999997,0.0511936,34.9977
THBS4,8.67223,5.97353,52.0386,18.6862,16.9838,105.4,61.5473,0.485063,4.62645,4.25511,0.592485
TNFAIP8,5.97248,44.1196,55.4688,11.3972,18.1646,43.0629,56.6026,9.44032,29.7009,37.9827,7.87435
TNFSF10,24.8142,75.9663,27.04,9.12321,42.7781,17.9517,42.6141,32.8667,125.454,30.9646,18.7849
TRIM68,7.67148,2.44961,2.84899,1.05924,0.0549879,1.9172099999999999,1.46171,0.76994,3.02313,3.6204699999999996,6.18412
TSC22D3,7.24202,16.9798,16.317999999999998,2.52544,0.42588000000000004,28.1163,4.71404,9.99221,28.3699,13.5572,43.2554
UBD,0.0,76.5536,35.4542,20.0174,10.9428,7.89514,6.29265,0.0,82.3521,85.5883,0.0
UGT2B28,0.0,0.0,0.49240600000000007,2.47028,0.0,0.0,0.0,0.0,0.0,0.0,0.0956985
XBP1,26.3139,97.6865,341.116,21.5179,92.5017,235.39,36.583,57.7395,91.0118,25.345,330.69699999999995
ZCCHC24,0.75321,0.691361,1.14291,0.144769,2.05055,2.29724,0.546381,0.34524299999999997,1.52345,0.351457,0.28010100000000004
