,gene_short_name,V515-06187-A1,17-00108-5_S18Aligned_cufflinks,TNT-202,TNT-157,TNT-322,TNT-62,TNT-100,TNT-166,TNT-2,TNT-183,TNT-270
71,PLEKHB1,14.583,1.2345,1.01767,0.0,0.544358,2.45002,0.902408,3.85211,1.03345,0.494162,0.0
72,PMAIP1,1.62393,4.76914,6.59513,1.51596,5.09102,4.94654,2.55461,0.803867,0.335407,0.22707,1.02141
73,PSMB9,0.0,0.0,17.354,9.36826,4.20788,15.7677,17.9413,12.0206,30.6622,37.2284,5.21137
74,PTGDS,1.49063,3.30801,1.9078,7.61933,0.515843,0.579019,2.27118,1.78555,33.7755,3.28185,0.19447
75,RARRES3,10.7933,8.46961,7.53713,22.5854,4.93264,17.812,34.1245,9.4068,58.6398,103.154,54.2952
76,RTP4,0.772275,1.04102,0.217629,4.38526,3.03186,3.40133,4.43146,1.53828,2.85869,2.3872,0.515617
77,S100A1,196.638,15.4601,16.643,0.0,36.3341,20.1712,17.2424,35.0289,0.0,0.564313,0.717304
78,S100A7,6.57916,0.0,10.9899,7.96798,0.0,0.453435,90.8251,1.92766,0.0,40.2684,6.24574
79,S100A8,3.49996,0.799238,2.47669,1.94246,0.869452,0.860568,24.8285,0.512749,8.04674,131.956,65.1642
80,SCRG1,23.222,0.33877,15.2656,0.697447,24.5745,15.5805,0.134701,8.70316,1.34104,1.51841,4.2639
81,SEMA3C,89.189,12.525,32.5006,20.029,24.3407,18.5492,25.4714,16.292,20.5534,23.6015,80.1454
82,SERHL2,5.02658,7.81635,0.991125,2.29392,6.08545,0.84822,1.91457,1.3535,0.260188,20.5574,532.459
83,SFRP1,35.3095,13.0061,4.3348,5.69443,26.554,50.8834,18.3509,95.0425,0.346055,2.33003,1.61611
84,SIDT1,0.909009,6.64324,2.41152,5.13203,1.77926,2.8378,6.62159,4.05504,29.3222,16.7941,23.9854
