,gene_short_name,V515-06187-A1,TNT-50,17-00111-2_S4_cufflinks,TNT-197,TNT-113,TNT-111,TNT-271,TNT-192,TNT-252,17-00113-4_S11_cufflinks,TNT-297
65,MID1,36.2366,33.7614,8.14593,18.348,8.52765,15.5697,12.7798,8.78539,6.97419,19.5958,65.2174
66,MYBL1,4.60362,31.0013,1.82664,35.5855,30.3994,3.49325,22.5291,12.0674,22.9374,34.5411,61.0025
67,NEK2,17.1321,14.2564,1.39409,41.9641,52.4039,4.20757,25.2859,1.18318,7.60347,35.7282,34.9499
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0300728,0.0,0.0,0.0,0.0
69,OGN,1.27872,7.41343,9.98837,20.8286,13.3446,13.2351,16.0821,69.8515,14.1862,9.56079,11.4075
70,PI3,0.0,0.342042,2.48626,70.1415,5.16361,0.0,0.380187,0.0,0.0,14.1712,0.636018
71,PLEKHB1,14.583,0.336417,1.24233,1.18679,2.2507,0.639033,1.52853,0.0,0.264925,1.27312,8.1823
72,PMAIP1,1.62393,1.51222,0.589743,17.1524,0.0,0.334089,3.59811,0.0,3.18964,13.1758,2.39667
73,PSMB9,0.0,3.58191,0.0,7.26712,36.9638,4.54106,11.5524,9.18446,25.7982,0.0,13.9884
74,PTGDS,1.49063,1.76951,11.4409,0.36842,3.52126,0.542022,4.04427,5.05302,13.8446,4.56134,11.6725
75,RARRES3,10.7933,6.06596,24.2394,5.24148,44.1109,30.5666,18.4448,28.6045,33.9218,5.6112,19.2644
76,RTP4,0.772275,2.39764,1.49429,0.0,0.0,0.783504,4.43542,2.39055,3.18352,3.38501,1.57226
77,S100A1,196.638,57.1312,12.5874,2.86215,1.81255,0.248466,3.97199,0.0,0.289516,4.30015,14.5831
78,S100A7,6.57916,21.4672,38.5416,3.16166,3.07872,1.10461,0.183064,48.572,0.0,0.277898,0.262958
79,S100A8,3.49996,4.79337,24.6541,19.1241,0.0,5.80152,1.17487,11.6298,0.927515,5.84994,3.72412
80,SCRG1,23.222,0.967221,0.130842,6.33004,0.0,1.19671,12.0128,0.0,0.2654,0.0855807,15.7144
81,SEMA3C,89.189,140.37,32.9593,19.5544,7.66827,36.4009,5.74939,76.662,3.39758,31.7723,11.818
82,SERHL2,5.02658,12.6058,2.39409,0.298226,3.6563,546.021,7.25241,195.241,2.05094,1.81287,3.68198
83,SFRP1,35.3095,16.7954,2.96769,8.08381,5.04083,2.22108,14.8229,23.7525,0.86701,1.93791,40.8617
84,SIDT1,0.909009,1.63791,5.32792,1.70233,19.857,22.7282,10.5153,5.42047,29.98,1.03892,2.16657
85,SOX10,3.84721,0.0526336,1.2086,0.0,0.112743,0.122019,0.85607,0.141943,0.0,1.62839,2.94014
86,SPDEF,0.141878,3.06071,0.735854,0.0,0.0,8.59881,1.04728,2.99063,0.293069,0.0,0.387559
87,SPRR1B,0.0944781,0.104007,93.0754,0.188152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
